,order_id,customer_id,date,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,latest_customer_review,is_happy_customer,distance_to_nearest_warehouse,nearest_warehouse
0,ORD014143,ID0267315670,2019-08-13,"[('Toshika 750', 2), ('iAssist Line', 2), ('pearTV', 2)]",25710.0,75.23,-37.823454,144.9761762,10,23214.23,Winter,True,five stars so far i'm very satisfied with my olivia universe note 5.,True,0.7949539295396374,Nickolson
1,ORD353742,ID4551628270,2019-10-02,"[('Lucent 330S', 2), ('Alcon 10', 2)]",20360.0,85.06,-37.8076649,144.94788269999995,0,20445.06,Spring,True,"i was a sucker. the phone was good for maybe the first week, after the warranty had expired of course the phone went down hill. it's slow, freezes, and the camera doesn't work sometimes unless i restart the phone. it also doesn't charge unless you hold it in a certain position. i wish i could get my money back for this awful phone.",False,0.5620845618111454,Thompson
2,ORD146778,ID5680172487,2019-01-23,"[('Olivia x460', 1), ('Alcon 10', 2), ('iStream', 2)]",19425.0,76.88,-37.808919,144.9728584,25,14645.63,Summer,False,this tablet is simple to set up and it's worth the price. it's perfect for beginners.,True,1.1156843460299284,Nickolson
3,ORD469433,ID0248746951,2019-09-04,"[('Thunder line', 2), ('iAssist Line', 2), ('pearTV', 2)]",21430.0,80.02,-37.821793400000004,144.99075430000005,5,20438.52,Spring,False,"awesome phone we pre ordered.. it felt like forever waiting.. we revived the phones quickly after they were released within a couple days.. they come with all the stuff , charger , ear buds etc.. they do come charged woot awesome phone",True,1.3710041445768246,Bakers
4,ORD134238,ID0529158815,2019-11-17,"[('Lucent 330S', 1), ('Toshika 750', 1), ('Thunder line', 1)]",7730.0,106.2,-37.8238221,144.94050719999996,15,6676.7,Spring,True,very happy great performance and amazing battery life. i prefer vanilla android and had been in the nexus/pixel line whenever i can. no complaints so far and very happy with all the performance of the phone.,True,1.3686410287459811,Thompson
5,ORD249564,ID4518640804,2019-02-18,"[('iAssist Line', 2), ('Lucent 330S', 2), ('Universe Note', 1)]",10360.0,92.64,-37.8074198,144.94228859999996,25,7862.64,Summer,True,"cute and quirky little phone. manual doesn't tell you ... cute and quirky little phone. manual doesn't tell you everything, you need to blog. do not turn on voice command, it is a nightmare to turn off. battery doesn't last too long, but for digico's price, this phone is tops.",True,0.7202259713642251,Thompson
6,ORD058543,ID0248746953,2019-04-07,"[('iStream', 1), ('iAssist Line', 1)]",2375.0,80.94,-37.820495799999996,144.9916339,5,2337.19,Autumn,True,great lovely,True,1.21086878345893,Bakers
7,ORD059550,ID0128977294,2019-11-02,"[('iAssist Line', 1), ('pearTV', 1)]",8535.0,100.84,-37.8170679,144.96366,10,7782.34,Spring,True,good price good price and it works well.,True,0.5452125297186533,Nickolson
8,ORD036121,ID0250480669,2019-01-24,"[('Lucent 330S', 2), ('iAssist Line', 2), ('Olivia x460', 1), ('Thunder line', 1)]",10315.0,76.61,-37.8107328,145.00233630000002,0,10391.61,Summer,True,"money back sigo esperando mi reembolso, no se pudo activar el teléfono con la compañía metro pcs",False,0.630149633094569,Bakers
9,ORD034428,ID4315827374,2019-08-18,"[('Alcon 10', 1), ('iStream', 2), ('Thunder line', 2), ('Universe Note', 1)]",17060.0,79.22,-37.819763099999996,144.9989418,0,17139.22,Winter,True,i love my phone i should have done this so long ago! i cannot believe i was going to pay 500 more to get this phone thru my carrier. it works perfectly and was able to put in my old sim card from my s8 with no problems!,True,1.1351257788565887,Bakers
10,ORD147833,ID5402876152,2019-04-05,"[('pearTV', 2), ('Toshika 750', 1)]",16940.0,63.5,-37.8193968,144.9771635,25,12768.5,Autumn,False,can't beat the quality and performance of this tablet for $60. i bought it to be my main link with my digico gold. but used it last week instead to download direct tv app so i could use it to watch the fbs championship game. it worked great but it couldn't help my bama team win.,True,0.6753302976739461,Nickolson
11,ORD323232,ID4716795768,2019-11-22,"[('Toshika 750', 2), ('Lucent 330S', 1), ('pearTV', 2), ('Candle Inferno', 1)]",22920.0,103.62,-37.818769700000004,144.9534822,0,23023.62,Spring,True,very slim and look gorgeous love this phone,True,0.8824009523935198,Thompson
12,ORD358530,ID0663120915,2019-02-08,"[('Toshika 750', 1), ('iAssist Line', 2)]",8770.0,70.58,-37.8002297,144.9550618,0,8840.58,Summer,False,None,False,1.55334589347777,Thompson
13,ORD223070,ID0775945877,2019-08-19,"[('pearTV', 1), ('Thunder line', 2), ('Alcon 10', 1), ('iStream', 1)]",19770.0,79.82,-37.8061341,144.95940249999995,15,16884.32,Winter,True,great value worth it. haven’t had an issue yet,True,1.3063029889708186,Thompson
